N = 2	Reps : 1	Cost : 0.0
N = 3	Reps : 2	Cost : 1.1901590823981678e-13
N = 4	Reps : 2	Cost : 2.077893412888443e-11
N = 5	Reps : 3	Cost : 2.992874836849069e-10
N = 6	Reps : 3	Cost : 3.90970589236872e-10
N = 7	Reps : 4	Cost : 5.763389765434113e-12
N = 8	Reps : 4	Cost : 1.372169045055216e-11
N = 9	Reps : 5	Cost : 3.490652211723955e-11
N = 10	Reps : 5	Cost : 2.6834001687348064e-10
N = 11	Reps : 6	Cost : 3.670108661424365e-11
N = 12	Reps : 6	Cost : 3.939424342291886e-10
N = 13	Reps : 7	Cost : 2.4330248926673903e-10
N = 14	Reps : 7	Cost : 5.803180158636678e-11
N = 15	Reps : 8	Cost : 7.925260447905202e-11
N = 16	Reps : 8	Cost : 7.223421860658163e-11
N = 17	Reps : 9	Cost : 4.769871164711503e-10
N = 18	Reps : 9	Cost : 9.336527106995618e-10
N = 19	Reps : 10	Cost : 1.0314886722539995e-09
N = 20	Reps : 10	Cost : 1.061633003729412e-09
N = 21	Reps : 11	Cost : 8.746328106212786e-10
N = 22	Reps : 11	Cost : 1.3401155740666582e-09
N = 23	Reps : 12	Cost : 1.0129628247312894e-09
N = 24	Reps : 12	Cost : 1.8599393136753406e-09
N = 25	Reps : 13	Cost : 5.582656559255383e-10
N = 26	Reps : 13	Cost : 2.1717969644896584e-09
N = 27	Reps : 14	Cost : 7.916922672990268e-10
N = 28	Reps : 14	Cost : 3.127682557391154e-10
N = 29	Reps : 15	Cost : 8.200320422702134e-10
N = 30	Reps : 15	Cost : 1.4246093194003606e-10
N = 31	Reps : 16	Cost : 2.811151311732374e-10
N = 32	Reps : 16	Cost : 2.6276669728986235e-10
